source,target,uid
"5,6,270,12,83,13,1882,4,2","5,174,16,4486,19,4487,4,2",9563
"11,9,13,111,345,212,4,2","27,19,312,86,497,4,2",6865
"11,9,10,103,125,4,2","10,42,30,58,126,4,2",5962
"14,7,809,4,2","13,21,3154,4,2",1572
"11,9,13,189,604,4,2","27,19,604,445,4,2",5944
"8,7,18,677,4,2","8,15,26,2414,4,2",5895
"17,9,47,16,1450,714,124,4,2","23,51,70,9,4780,239,4,2",10857
"19,7,53,22,16,763,4,2","40,240,143,25,68,75,4,2",7202
"5,6,1597,4,2","5,893,22,140,4,2",2423
"5,6,1551,4,2","5,6,669,4,2",1362
"8,7,18,113,4,2","8,15,56,1356,4,2",4666
"8,7,10,61,4,2","12,11,1339,7,4,2",3922
"5,6,927,4,2","5,6,2065,4,2",1371
"14,7,15,287,4,2","13,21,48,882,4,2",1588
"11,9,146,1878,135,4,2","10,110,721,2696,166,4,2",9493
"8,7,58,518,4,2","8,15,60,3827,4,2",5841
"5,6,10,35,123,23,8,4,2","5,11,6,7,86,111,28,8,4,2",8393
"5,6,2383,12,215,8,4,2","5,6,791,9,8,309,4,2",6512
"8,7,18,187,4,2","8,15,26,1559,4,2",3476
"8,7,1820,419,4,2","12,52,4214,4,2",8156
"5,6,56,10,18,60,4,2","5,11,6,287,7,26,177,4,2",6075
"5,6,29,52,74,364,4,2","5,6,120,62,4,2",3637
"8,7,40,2018,16,785,1217,2019,4,2","12,20,44,560,36,1443,36,431,4,2",11969
"8,7,425,40,302,4,2","8,2483,44,397,4,2",6787
"5,6,49,8,222,7,106,124,4,2","5,6,73,18,80,102,291,16,171,330,4,2",11000
"5,6,270,12,499,13,141,209,4,2","5,174,16,82,19,98,355,4,2",11288
"5,6,10,143,42,41,4,2","5,184,352,7,4,2",7605
"8,7,15,39,70,903,25,795,4,2","27,8,67,158,670,259,841,4,2",11248
"14,7,31,12,75,232,4,2","13,21,54,28,48,247,4,2",6742
"5,6,40,209,12,352,4,2","5,6,44,3946,28,302,4,2",6640
"5,6,60,22,48,5,73,10,72,4,2","5,6,124,25,5,11,173,1400,870,335,4,2",6508
"8,7,18,765,4,2","12,20,26,1128,4,2",5865
"17,9,13,58,35,130,4,2","27,60,31,111,128,4,2",7678
"11,9,64,38,51,117,4,2","10,14,57,1951,4,2",6435
"11,9,2509,30,51,1197,4,2","10,14,2063,9,154,1436,4,2",8243
"5,6,13,2093,4,2","5,6,374,4,2",1748
"11,9,248,22,91,49,4,2","10,14,373,25,129,73,4,2",5405
"8,7,18,176,4,2","12,20,26,1343,4,2",4098
"5,6,451,4,2","5,6,1945,4,2",83
"19,7,15,894,70,226,12,72,4,2","33,29,1486,67,653,131,134,4,2",10380
"8,7,39,16,232,22,7,10,8,43,2","8,15,957,2724,25,77,7,50,2",9823
"5,6,13,87,22,40,4,2","39,74,25,5,6,188,4,2",4208
"5,6,261,69,8,7,180,4,2","5,6,1439,87,8,15,1024,4,2",8329
"5,6,37,8,7,357,124,4,2","5,6,201,18,8,1806,16,171,68,4,2",6996
"5,6,1523,4,2","5,6,3020,4,2",668
"11,9,10,225,12,166,15,896,4,2","10,42,7,432,16,721,24,668,4,2",11269
"5,6,37,8,102,10,59,41,4,2","5,6,201,18,12,11,1831,7,85,4,2",7511
"5,6,1237,1303,4,2","5,1948,46,1655,4,2",2948
"5,6,26,22,5,102,10,320,8,4,2","5,6,47,25,5,11,8,69,7,1487,4,2",10585
"14,7,106,4,2","13,21,330,4,2",1107
"11,9,20,51,841,4,2","10,14,61,112,786,4,2",4739
"5,6,47,5,44,402,8,4,2","5,127,9,8,82,4322,4,2",8724
"8,7,65,368,4,2","12,52,1706,57,4,2",8150
"5,6,2314,29,24,114,4,2","3782,61,41,121,4,2",5519
"5,6,686,12,852,4,2","5,6,799,155,616,4,2",4843
"5,6,143,16,21,4,2","5,807,16,131,134,4,2",5652
"11,9,13,84,8,73,1021,38,4,2","27,19,125,90,67,12,173,679,4,2",7909
"17,9,1538,4,2","23,14,3077,4,2",1044
"8,7,401,86,2","12,20,218,45,2",482
"17,9,63,4,2","23,14,227,4,2",216
"14,7,10,1623,4,2","13,11,21,7,36,3435,4,2",3237
"5,6,10,68,4,2","5,11,6,7,226,4,2",1002
"17,9,318,917,20,67,615,2927,4,2","23,14,186,1541,9,4958,4959,4,2",11453
"5,6,1176,30,24,1423,4,2","5,6,296,9,41,1847,4,2",7959
"5,6,237,69,193,4,2","5,6,514,87,17,147,4,2",7964
"5,6,47,8,1460,33,4,2","5,127,18,12,1401,167,2677,4,2",9926
"8,7,85,15,53,354,4,2","8,254,22,111,175,4,2",9039
"14,7,10,95,184,94,4,2","13,910,7,66,138,9,278,4,2",8138
"14,7,10,90,4,2","13,11,21,7,303,4,2",2045
"14,7,85,435,30,541,2003,4,2","13,242,36,422,53,9,1470,668,4,2",11769
"5,6,10,93,16,41,4,2","5,96,6,7,271,4,2",4347
"8,7,18,218,4,2","12,20,56,777,4,2",3460
"8,7,65,1858,33,86,2","8,32,4385,229,2604,45,2",9027
"8,7,96,16,264,415,8,7,164,4,2","12,20,86,407,458,12,20,17,147,4,2",11080
"5,6,37,12,54,15,39,70,713,8,4,2","5,32,104,119,249,67,8,1493,4,2",11134
"8,7,328,53,4,2","8,158,425,143,4,2",5329
"14,7,27,34,16,25,4,2","13,17,21,80,1577,4,2",6258
"8,7,10,658,4,2","12,63,7,1684,4,2",4000
"5,6,10,186,4,2","5,123,7,192,4,2",1836
"8,7,13,132,4,2","8,15,19,210,4,2",3288
"8,7,1203,76,371,39,16,144,4,2","2617,9,13,52,85,228,4,2",10924
"19,7,648,4,2","40,29,2058,4,2",1505
"14,7,34,16,51,332,4,2","13,21,1147,9,81,316,4,2",8118
"19,7,61,23,8,4,2","34,52,643,4,2",6711
"5,6,29,15,1413,16,24,877,4,2","79,779,14,16,1097,4,2",9536
"11,9,1683,12,144,4,2","10,14,1721,28,13,4,2",4749
"5,6,556,4,2","5,6,1031,4,2",921
"5,6,10,816,4,2","5,11,6,7,1042,4,2",2456
"5,6,21,12,1451,24,1854,4,2","5,35,1294,9,2643,4,2",8832
"5,6,37,12,83,8,7,49,4,2","5,32,104,9,52,103,73,4,2",8783
"8,7,18,187,4,2","12,20,26,742,4,2",3477
"5,6,2043,4,2","5,6,745,4,2",360
"5,6,562,38,41,4,2","505,289,4,2",3654
"8,7,401,86,2","8,15,2986,45,2",491
"11,9,1184,20,2434,4,2","10,51,31,111,2522,9,22,1414,4067,4,2",7356
"19,7,30,33,4,2","34,29,53,39,4,2",1984
"14,7,21,12,704,271,4,2","13,132,278,71,276,4,2",8133
"5,6,18,230,4,2","5,6,26,105,4,2",2969
"14,7,77,4,2","13,21,120,13,4,2",231
"5,6,48,26,25,5,1909,12,8,4,2","5,6,49,47,9,157,2747,4,2",10014
"5,6,423,4,2","5,851,4,2",291
"8,7,21,12,1892,36,1427,4,2","12,205,52,2722,48,872,4,2",9806
"8,7,10,13,210,4,2","12,63,7,304,4,2",4593
"11,9,243,525,23,1897,140,4,2","133,85,1897,137,84,1411,4,2",9876
"8,7,211,4,2","12,20,539,4,2",824
"5,6,10,322,4,2","5,11,6,7,848,4,2",1428
"5,6,47,8,78,44,12,72,20,89,4,2","37,70,18,8,11,4948,131,134,17,122,4,2",11412
"5,6,18,324,42,67,1218,4,2","5,932,141,9,112,1185,4,2",11189
"8,7,277,4,2","8,1028,4,2",1178
"8,7,163,46,33,4,2","8,15,30,436,18,39,4,2",6304
"19,7,146,4,2","34,676,237,4,2",1963
"14,7,1307,4,2","13,21,2201,4,2",3185
"5,6,451,69,50,4,2","5,6,90,22,3586,87,97,4,2",4268
"8,7,18,385,4,2","8,15,26,606,4,2",2822
"8,7,837,4,2","8,15,2212,4,2",3339
"19,7,20,250,4,2","34,29,17,255,4,2",3171
"8,7,1381,46,444,4,2","12,20,30,444,18,638,4,2",6322
"5,6,598,4,2","5,6,2930,4,2",175
"5,6,21,12,285,194,112,98,4,2","5,35,82,318,9,30,9,117,4,2",10264
"17,9,1726,67,1180,4,2","23,92,2426,48,1410,4,2",7145
"8,7,18,299,4,2","12,20,26,749,4,2",2829
"8,7,13,391,984,4,2","8,15,19,1133,1753,4,2",7258
"5,6,29,15,1413,16,24,1702,4,2","28,39,25,27,22,2532,36,4087,4,2",7458
"19,7,20,15,1128,4,2","34,29,71,1333,4,2",5713
"5,6,18,26,42,15,448,4,2","5,6,60,47,28,2010,4,2",10349
"8,7,512,4,2","12,20,262,4,2",806
"8,7,751,4,2","12,20,1231,4,2",5258
"5,6,1691,1342,4,2","5,2331,48,2332,4,2",4854
"8,7,922,4,2","8,15,543,4,2",2149
"8,7,15,39,70,903,25,795,4,2","12,20,249,67,51,670,259,841,4,2",11244
"5,6,117,4,2","5,6,1001,4,2",15
"5,6,326,415,429,20,467,2020,4,2","5,6,1615,2898,5,224,31,454,1414,4,2",11993
"14,7,64,10,34,4,2","13,11,21,57,7,683,4,2",5217
"5,6,325,30,24,101,4,2","5,6,105,9,41,121,4,2",8035
"19,7,21,12,1857,52,4,2","40,237,2660,62,4,2",8988
"5,6,21,12,273,15,768,4,2","5,35,526,22,948,4,2",8831
"8,7,10,225,12,476,181,4,2","12,63,7,432,16,2777,99,4,2",10400
"8,7,10,128,62,4,2","12,63,7,164,106,4,2",6294
"5,6,13,481,4,2","5,6,31,1010,4,2",908
"8,7,154,15,752,4,2","8,15,3622,567,4,2",4614
"8,7,48,111,4,2","12,20,95,444,4,2",2770
"5,6,1306,20,588,109,706,4,2","194,368,830,29,4913,4,2",11280
"11,9,10,31,94,4,2","10,42,7,66,99,4,2",2924
"5,6,26,99,24,80,31,1231,8,4,2","5,6,72,49,79,1199,8,2878,4,2",11831
"5,6,48,93,16,8,4,2","5,6,95,271,9,55,4,2",4383
"8,7,129,8,102,10,269,4,2","8,158,9,22,212,9,11,7,108,615,4,2",8550
"5,6,26,5,504,8,257,32,4,2","5,6,47,9,157,495,300,4,2",10572
"8,7,486,4,2","12,20,286,4,2",2728
"8,7,10,52,4,2","8,43,7,62,4,2",1602
"14,7,27,1404,38,25,4,2","13,17,21,59,385,4,2",7220
"8,7,15,39,70,275,33,4,2","27,8,67,1110,988,4,2",9446
"8,7,1604,4,2","12,20,3342,4,2",2657
"5,6,184,30,24,737,4,2","5,6,17,38,9,278,53,41,2473,4,2",6606
"5,6,93,16,15,101,5,44,95,31,4,2","5,6,163,46,121,18,37,2837,54,4,2",11168
"8,7,20,15,53,442,4,2","12,20,71,83,677,4,2",7773
"5,6,10,36,62,4,2","5,11,6,7,76,151,4,2",4360
"11,9,18,396,4,2","10,14,26,433,4,2",2903
"14,7,205,234,16,25,4,2","13,17,21,28,419,196,1576,4,2",8520
"8,7,238,131,4,2","8,158,238,233,4,2",6297
"8,7,455,4,2","8,2100,4,2",1699
"17,9,195,4,2","23,14,281,4,2",218
"8,7,27,49,4,2","8,15,59,690,4,2",2682
"17,9,190,46,52,4,2","23,14,30,623,18,62,4,2",5105
"19,7,337,16,144,4,2","40,29,1579,9,13,4,2",6219
"8,7,203,22,7,10,8,43,2","12,20,485,25,7,315,50,2",9047
"5,6,756,46,8,4,2","5,6,30,236,18,55,4,2",5482
"5,6,34,52,73,10,363,4,2","5,6,75,18,62,11,715,7,297,4,2",6631
"11,9,28,907,28,13,2339,4,2","10,14,2114,109,31,3838,4,2",5949
"19,7,10,1365,4,2","33,11,29,7,36,3804,4,2",5724
"5,6,97,23,13,18,515,273,4,2","197,19,2333,26,869,4,2",11335
"8,7,90,22,7,10,8,43,2","8,15,145,25,77,7,50,2",7266
"5,6,562,38,8,4,2","5,289,90,55,4,2",4270
"8,7,253,29,77,4,2","12,63,179,120,55,4,2",5267
"11,9,20,13,2405,16,1321,4,2","10,14,17,2372,9,1685,4,2",6909
"11,9,21,1233,4,2","10,1049,1499,4,2",1732
"5,6,10,25,115,4,2","5,11,6,7,49,1032,4,2",4970
"5,6,10,90,4,2","5,11,6,7,145,4,2",981
"19,7,221,31,4,2","34,17,29,161,99,4,2",4465
"11,9,277,400,51,1162,4,2","10,1275,4401,4,2",9098
"14,7,1531,4,2","13,21,2126,4,2",1996
"5,6,13,134,84,4,2","5,6,19,125,225,4,2",1341
"5,6,26,8,242,504,257,32,4,2","5,6,47,18,12,520,190,495,300,4,2",11031
"8,7,48,264,413,4,2","8,15,49,1234,326,4,2",6834
"14,7,1564,4,2","13,684,16,22,1606,4,2",1576
"11,9,13,157,437,4,2","27,19,1091,2112,4,2",4134
"14,7,116,521,4,2","13,21,109,36,507,4,2",4524
"8,7,15,246,110,199,20,15,295,4,2","12,20,22,159,22,30,153,71,180,4,2",11978
"19,7,10,669,4,2","40,11,29,7,3806,4,2",5726
"5,6,47,16,1151,4,2","5,377,9,2391,4,2",5975
"5,6,15,998,156,4,2","5,6,22,30,126,156,4,2",6159
"8,7,961,4,2","12,20,883,4,2",3355
"8,7,64,397,22,7,10,8,43,2","12,20,57,374,25,7,315,50,2",10154
"14,7,1257,135,4,2","13,3811,1552,166,4,2",5738
"5,6,10,356,16,159,4,2","5,123,70,9,172,4,2",9612
"11,9,13,326,567,4,2","10,14,1107,1722,4,2",4769
"5,6,64,104,4,2","5,6,57,293,4,2",3102
"5,6,1600,120,4,2","37,1247,146,4,2",2496
"14,7,68,45,4,2","13,21,357,25,223,4,2",2066
"5,6,147,12,83,8,4,2","5,6,503,9,8,103,4,2",7115
"5,6,564,1698,67,4,2","5,1389,16,81,418,4,2",6170
"5,6,10,13,1642,4,2","5,11,6,7,19,3500,4,2",3697
"5,6,47,16,490,4,2","37,70,36,487,4,2",4210
"11,9,57,193,179,4,2","10,51,24,2209,252,4,2",4721
"5,6,10,49,30,24,114,4,2","41,121,11,32,1142,7,4,2",7583
"17,9,697,12,473,4,2","23,14,471,53,58,24,180,4,2",8952
"11,9,20,24,434,4,2","10,14,61,22,135,306,18,39,4,2",2307
"5,6,26,5,217,52,4,2","5,6,47,178,438,62,4,2",5030
"5,6,10,18,440,12,72,4,2","5,123,7,44,2505,483,134,4,2",7083
"19,7,1101,4,2","34,29,16,1013,4,2",1966
"5,6,10,49,30,32,791,4,2","5,11,6,7,105,9,130,553,4,2",10549
"8,7,15,1113,4,2","8,15,48,1302,4,2",3430
"14,7,55,16,1098,4,2","13,21,16,215,9,1053,4,2",3259
"5,6,21,12,351,8,4,2","8,298,32,387,4,2",5539
"8,7,13,1196,35,874,4,2","152,19,1391,2589,4,2",8173
"8,7,15,71,89,25,73,1440,81,4,2","12,20,22,145,122,67,361,24,5155,4,2",11979
"5,6,10,170,4,2","5,11,6,7,2115,4,2",1823
"11,9,20,1009,1473,1474,4,2","10,14,17,1864,1898,1899,4,2",11257
"5,6,18,160,4,2","5,6,26,182,4,2",1338
"8,7,176,4,2","8,15,1582,4,2",1207
"11,9,229,301,4,2","10,481,22,3378,4,2",2905
"5,6,21,12,54,153,31,4,2","5,35,108,54,4,2",7535
"8,7,330,12,1839,33,4,2","8,4294,16,32,64,70,4,2",8588
"5,6,234,25,11,78,185,4,2","5,6,75,84,1156,4,2",8343
"5,6,21,12,478,4,2","5,35,32,1295,45,2",2414
"11,9,451,4,2","10,14,1510,4,2",145
"5,6,10,25,513,16,212,4,2","5,11,6,7,33,234,9,618,4,2",7080
"5,6,66,468,23,52,4,2","5,11,78,7,24,557,1732,16,62,4,2",4920
"5,6,698,76,24,283,4,2","5,6,576,9,79,290,4,2",6485
"8,7,844,4,2","12,20,2260,4,2",3970
"5,6,270,12,1785,67,4,2","5,174,16,22,2533,4,2",7460
"5,6,61,113,12,214,81,4,2","5,32,104,9,24,103,4,2",10525
"5,6,880,8,44,13,702,4,2","5,978,18,8,4326,214,979,4,2",8744
"5,6,10,15,256,4,2","24,244,25,33,42,7,39,4,2",4353
"5,6,56,57,1753,212,4,2","5,6,101,19,467,594,4,2",6547
"17,9,1801,76,248,472,4,2","23,377,275,446,2635,4,2",10863
"14,7,21,12,1718,20,15,188,4,2","13,132,714,61,22,193,4,2",9780
"11,9,13,2184,661,4,2","10,14,750,155,3475,4,2",3569
"11,9,112,176,46,33,4,2","10,14,30,413,18,39,4,2",7346
"8,7,514,4,2","12,20,2022,4,2",2721
"14,7,10,95,94,4,2","13,96,115,7,66,204,4,2",3863
"8,7,56,15,89,5,226,12,393,12,4,2","12,20,843,22,122,16,1197,5,310,187,4,2",11777
"8,7,110,4,2","8,15,1305,4,2",3298
"17,9,853,140,190,46,5,6,4,2","23,51,954,137,9,30,18,39,4,2",10074
"5,6,58,10,60,4,2","5,11,6,60,7,177,4,2",4373
"14,7,10,21,12,450,29,25,695,124,4,2","13,11,5124,30,61,259,1145,4,2",11907
"5,6,13,141,237,4,2","5,6,19,98,514,4,2",7432
"11,9,1347,327,4,2","10,14,2463,275,182,3921,4,2",6466
"8,7,108,13,1781,4,2","682,1353,8,254,4,2",7321
"11,9,35,29,607,4,2","10,14,83,743,4,2",5385
"5,6,21,12,691,301,32,590,4,2","5,35,288,22,416,33,198,4,2",10966
"19,7,129,12,54,383,4,2","40,29,2176,119,17,274,4,2",7714
"5,6,282,2237,4,2","5,6,17,38,630,24,3588,4,2",4303
"8,7,64,397,22,7,10,8,43,2","8,15,57,374,25,77,7,50,2",10153
"8,7,58,458,4,2","12,20,60,1785,4,2",6346
"5,6,129,12,44,8,28,13,62,4,2","5,6,311,9,157,109,151,4,2",10529
"8,7,40,322,4,2","12,20,44,1080,4,2",3444
"11,9,18,460,12,276,4,2","27,19,4307,4,2",8658
"19,7,21,12,207,544,4,2","34,237,977,36,647,4,2",9762
"8,7,65,799,712,30,33,4,2","12,136,57,170,175,16,32,2840,4,2",11222
"8,7,35,4,2","12,20,83,4,2",466
"11,9,480,12,24,241,4,2","10,14,1213,16,79,256,4,2",7877
"5,6,40,209,12,352,4,2","37,44,355,28,302,4,2",6641
"5,6,34,52,586,8,5,244,152,4,2","5,6,75,18,62,1715,258,18,5,2813,4,2",10837
"5,6,27,805,4,2","5,6,58,16,85,139,4,2",300
"5,6,56,13,87,4,2","5,11,6,267,396,4,2",3680
"17,9,24,513,4,2","23,14,41,234,4,2",1054
"17,9,64,411,169,4,2","23,14,66,1707,4,2",5691
"5,6,68,12,1010,8,4,2","5,6,226,16,52,808,4,2",6943
"5,6,29,13,62,74,364,4,2","5,6,120,31,151,4,2",6505
"8,7,265,4,2","12,2141,4,2",2141
"5,6,13,2039,4,2","5,6,19,2947,4,2",286
"11,9,372,140,190,46,5,6,4,2","10,51,366,137,9,30,18,39,4,2",10209
"11,9,10,13,192,212,4,2","33,42,7,19,252,3479,4,2",3583
"5,6,2068,66,4,2","5,3076,206,4,2",1038
"5,6,807,4,2","5,6,1936,4,2",392
"5,6,1536,4,2","5,3073,4,2",1028
"11,9,13,829,70,9,1005,76,473,4,2","27,19,898,67,14,1437,89,59,4,2",12051
"5,6,10,42,12,1486,866,1441,4,2","5,11,35,58,9,135,7,1006,958,1442,4,2",10492
"5,6,97,24,1139,4,2","197,41,1352,4,2",4417
"5,6,1070,4,2","5,6,1995,4,2",661
"5,6,146,384,23,13,694,353,4,2","5,924,22,305,28,353,369,4,2",10217
"11,9,13,2091,4,2","10,14,3178,4,2",1724
"17,9,66,898,110,46,67,283,4,2","23,42,7,400,153,18,112,290,4,2",11696
"5,6,1414,77,13,1415,4,2","5,6,17,38,9,4090,31,1827,120,39,4,2",7468
"8,7,827,4,2","12,20,2181,4,2",2771
"8,7,10,28,204,28,33,4,2","12,63,7,74,236,18,39,4,2",7755
"5,6,21,12,311,8,15,591,4,2","5,35,52,196,22,500,4,2",9951
"5,6,58,343,4,2","5,6,60,1086,4,2",6145
"11,9,76,412,15,165,132,4,2","10,14,9,331,24,217,210,4,2",9090
"5,6,10,15,39,70,884,72,4,2","5,11,6,7,199,67,2674,131,134,4,2",9244
"5,6,10,126,20,2643,4,2","5,11,976,7,16,22,4499,4,2",9617
"17,9,456,4,2","23,14,1990,4,2",1493
"8,7,944,22,7,10,8,43,2","8,15,372,25,77,7,50,2",7313
"5,6,13,111,35,846,4,2","5,6,86,83,2316,4,2",7438
"8,7,423,22,16,763,4,2","12,1583,25,68,75,4,2",7287
"17,9,66,168,46,13,1074,4,2","23,11,2684,7,219,423,2117,4,2",9323
"5,6,554,4,2","5,6,3017,4,2",654
"5,6,28,68,28,5,78,331,54,4,2","5,6,74,139,18,5,11,24,1729,179,4,2",8740
"8,7,134,4,2","8,15,599,4,2",460
"8,7,13,391,89,4,2","12,20,31,122,2517,4,2",7263
"8,7,514,4,2","12,20,2021,4,2",2720
"5,6,53,1698,8,4,2","5,6,101,16,94,418,4,2",5002
"5,6,15,890,84,20,15,295,4,2","5,6,588,24,30,73,46,180,4,2",10612
"11,9,57,403,4,2","10,14,672,4,2",2882
"5,6,85,32,23,232,4,2","5,24,78,28,40,4,2",6516
"19,7,581,38,258,254,4,2","40,2615,9,277,569,285,4,2",8494
"8,7,18,677,4,2","8,15,56,2414,4,2",5896
"5,6,26,99,5,343,8,4,2","5,6,47,49,5,8,69,2706,4,2",9643
"5,6,61,113,12,15,145,98,4,2","5,6,286,9,22,301,208,4,2",11150
"14,7,104,4,2","13,21,544,4,2",1119
"14,7,459,4,2","13,21,2128,4,2",2023
"5,6,10,27,25,60,4,2","5,11,6,7,49,124,18,65,4,2",5571
"5,6,329,13,981,4,2","5,3671,31,1361,4,2",4828
"14,7,21,45,4,2","13,131,132,100,4,2",2033
"5,6,13,302,1633,4,2","561,397,4,2",3621
"8,7,455,22,7,10,8,43,2","12,2099,25,77,7,50,2",8218
"5,6,200,46,8,4,2","5,6,30,674,18,8,4,2",5026
"5,6,10,13,1091,4,2","5,11,6,7,1599,4,2",4926
"14,7,27,193,4,2","13,21,80,17,147,4,2",1999
"5,6,746,8,72,4,2","5,52,784,165,4,2",3691
"14,7,1429,521,4,2","13,21,931,507,45,2",8148
"11,9,82,1609,4,2","10,14,2110,9,2191,4,2",2917
"19,7,2995,2996,14,285,12,1228,4,2","33,29,36,422,1194,13,5071,187,4,2",11766
"5,6,10,161,4,2","5,11,35,7,68,4,2",623
"11,9,539,12,2896,51,435,4,2","10,4906,9,1188,81,2713,4,2",11258
"5,6,10,267,16,8,125,4,2","5,123,30,70,9,8,4,2",9241
"8,7,10,80,654,4,2","8,43,7,4141,4,2",7789
"17,9,40,606,4,2","23,224,44,56,4,2",1499
"11,9,13,326,567,4,2","27,31,3658,9,2320,4,2",4768
"8,7,10,602,4,2","8,43,7,2177,4,2",2750
"5,6,26,22,91,41,74,1104,36,1986,4,2","5,6,47,25,129,428,969,52,1295,14,2851,4,2",11325
"5,6,394,4,2","5,6,292,4,2",123
"5,6,88,12,24,2481,20,101,4,2","37,46,121,2568,22,484,4,2",7947
"5,6,13,87,4,2","5,6,1564,4,2",911
"11,9,48,942,25,11,390,501,544,4,2","10,14,49,5171,84,5172,386,36,647,4,2",12020
"5,6,143,16,21,12,15,2938,4,2","5,352,165,16,22,1475,4,2",11519
