source,target,uid
"28,29,13,5,14,19,16,29,16,11,24,23,26,21,19,12,25,29,23,10,25,12,20,7,5,19,2","19,5,7,20,12,25,10,23,29,25,12,19,21,26,23,24,11,16,29,16,19,14,5,13,29,28,2",40
"27,16,15,7,25,28,4,10,10,28,26,11,16,12,27,16,8,8,23,13,14,9,28,24,24,14,12,23,21,4,24,23,22,5,24,7,28,8,10,8,28,20,9,9,20,6,17,11,9,2","9,11,17,6,20,9,9,20,28,8,10,8,28,7,24,5,22,23,24,4,21,23,12,14,24,24,28,9,14,13,23,8,8,16,27,12,16,11,26,28,10,10,4,28,25,7,15,16,27,2",41
"26,7,19,10,23,11,18,9,24,6,5,27,9,6,18,13,12,21,5,15,23,29,15,4,26,27,9,27,27,25,22,27,28,12,27,15,14,11,24,29,2","29,24,11,14,15,27,12,28,27,22,25,27,27,9,27,26,4,15,29,23,15,5,21,12,13,18,6,9,27,5,6,24,9,18,11,23,10,19,7,26,2",42
"23,10,12,14,21,24,26,7,25,10,27,12,9,20,12,6,21,28,9,10,2","10,9,28,21,6,12,20,9,12,27,10,25,7,26,24,21,14,12,10,23,2",43
"12,28,23,6,17,4,15,22,2","22,15,4,17,6,23,28,12,2",44
"20,24,16,21,11,29,8,25,26,26,24,12,4,27,6,25,6,24,12,6,7,7,27,14,9,12,19,2","19,12,9,14,27,7,7,6,12,24,6,25,6,27,4,12,24,26,26,25,8,29,11,21,16,24,20,2",45
"27,14,14,26,18,9,4,4,14,16,28,7,10,22,16,2","16,22,10,7,28,16,14,4,4,9,18,26,14,14,27,2",47
"6,7,16,19,5,5,21,10,10,28,17,9,5,6,2","6,5,9,17,28,10,10,21,5,5,19,16,7,6,2",48
"17,15,16,18,6,28,27,14,7,22,6,28,4,4,12,12,23,16,20,7,29,18,24,23,12,23,12,20,21,21,26,2","26,21,21,20,12,23,12,23,24,18,29,7,20,16,23,12,12,4,4,28,6,22,7,14,27,28,6,18,16,15,17,2",49
"22,22,16,14,8,21,11,17,9,20,15,26,13,17,13,4,28,21,6,16,27,19,5,27,20,22,2","22,20,27,5,19,27,16,6,21,28,4,13,17,13,26,15,20,9,17,11,21,8,14,16,22,22,2",50
"14,28,7,21,16,20,11,14,2","14,11,20,16,21,7,28,14,2",51
"7,8,21,8,9,28,23,8,22,26,16,2","16,26,22,8,23,28,9,8,21,8,7,2",52
"27,23,22,4,8,21,23,9,27,27,19,6,23,27,25,10,14,14,18,23,26,7,6,24,29,16,16,17,12,2","12,17,16,16,29,24,6,7,26,23,18,14,14,10,25,27,23,6,19,27,27,9,23,21,8,4,22,23,27,2",53
"8,29,4,28,8,24,17,23,28,11,7,17,17,10,11,28,29,18,27,9,14,8,8,17,10,13,15,14,10,5,23,4,27,25,16,14,9,22,10,25,12,17,22,15,18,2","18,15,22,17,12,25,10,22,9,14,16,25,27,4,23,5,10,14,15,13,10,17,8,8,14,9,27,18,29,28,11,10,17,17,7,11,28,23,17,24,8,28,4,29,8,2",54
"19,26,7,4,10,9,16,20,7,6,12,27,5,15,8,5,22,2","22,5,8,15,5,27,12,6,7,20,16,9,10,4,7,26,19,2",55
"11,17,16,25,2","25,16,17,11,2",56
"23,17,25,17,8,21,4,6,18,20,21,16,21,14,18,22,20,19,4,14,27,8,21,9,29,16,23,7,20,6,16,15,19,29,11,15,12,17,28,17,26,2","26,17,28,17,12,15,11,29,19,15,16,6,20,7,23,16,29,9,21,8,27,14,4,19,20,22,18,14,21,16,21,20,18,6,4,21,8,17,25,17,23,2",58
"20,25,16,18,29,23,18,7,26,22,12,15,7,19,5,26,22,11,4,26,29,25,24,26,11,2","11,26,24,25,29,26,4,11,22,26,5,19,7,15,12,22,26,7,18,23,29,18,16,25,20,2",59
"22,20,8,20,25,11,6,4,14,9,23,14,19,19,6,5,22,2","22,5,6,19,19,14,23,9,14,4,6,11,25,20,8,20,22,2",60
"12,6,13,13,17,6,21,6,13,18,5,4,10,18,5,21,26,11,7,23,10,28,18,2","18,28,10,23,7,11,26,21,5,18,10,4,5,18,13,6,21,6,17,13,13,6,12,2",61
"8,10,22,13,28,17,10,12,17,21,8,23,18,20,11,22,10,21,4,29,13,8,10,8,2","8,10,8,13,29,4,21,10,22,11,20,18,23,8,21,17,12,10,17,28,13,22,10,8,2",62
"7,12,23,23,27,6,28,17,28,7,11,13,9,28,13,9,27,14,8,24,23,16,26,10,26,10,4,4,6,9,2","9,6,4,4,10,26,10,26,16,23,24,8,14,27,9,13,28,9,13,11,7,28,17,28,6,27,23,23,12,7,2",63
"27,27,13,5,22,15,20,10,7,24,27,4,13,6,2","6,13,4,27,24,7,10,20,15,22,5,13,27,27,2",64
"5,23,5,14,20,15,2","15,20,14,5,23,5,2",65
"17,5,19,9,14,23,27,24,8,22,4,10,11,12,7,6,15,14,24,16,16,6,21,13,14,11,19,15,6,2","6,15,19,11,14,13,21,6,16,16,24,14,15,6,7,12,11,10,4,22,8,24,27,23,14,9,19,5,17,2",66
"20,17,6,17,9,29,13,15,15,9,23,28,8,21,23,19,19,6,11,19,24,19,10,7,6,26,16,22,2","22,16,26,6,7,10,19,24,19,11,6,19,19,23,21,8,28,23,9,15,15,13,29,9,17,6,17,20,2",67
"29,15,11,24,11,23,16,20,19,28,29,6,12,14,11,24,6,24,13,28,12,4,27,6,6,7,29,28,20,11,21,29,7,27,19,2","19,27,7,29,21,11,20,28,29,7,6,6,27,4,12,28,13,24,6,24,11,14,12,6,29,28,19,20,16,23,11,24,11,15,29,2",68
"27,19,6,10,16,12,20,22,11,6,9,18,2","18,9,6,11,22,20,12,16,10,6,19,27,2",71
"5,29,6,27,27,20,12,24,20,5,10,12,7,6,9,23,2","23,9,6,7,12,10,5,20,24,12,20,27,27,6,29,5,2",72
"11,17,14,25,17,4,29,6,10,19,2","19,10,6,29,4,17,25,14,17,11,2",74
"24,16,24,25,22,4,23,5,17,21,17,13,28,6,11,14,28,18,19,23,9,29,16,6,13,21,25,19,19,12,9,17,28,6,21,20,25,28,25,18,16,20,28,5,29,16,29,26,11,2","11,26,29,16,29,5,28,20,16,18,25,28,25,20,21,6,28,17,9,12,19,19,25,21,13,6,16,29,9,23,19,18,28,14,11,6,28,13,17,21,17,5,23,4,22,25,24,16,24,2",75
"13,20,25,26,29,28,10,22,28,6,18,14,14,20,15,16,18,5,22,15,24,22,11,25,9,13,14,9,14,20,6,2","6,20,14,9,14,13,9,25,11,22,24,15,22,5,18,16,15,20,14,14,18,6,28,22,10,28,29,26,25,20,13,2",76
"22,21,6,9,29,28,5,28,11,20,8,5,9,23,27,4,10,4,20,7,2","7,20,4,10,4,27,23,9,5,8,20,11,28,5,28,29,9,6,21,22,2",78
"8,5,17,22,15,19,25,11,15,19,27,8,24,28,19,21,22,26,21,22,2","22,21,26,22,21,19,28,24,8,27,19,15,11,25,19,15,22,17,5,8,2",79
"10,8,9,9,21,9,29,26,7,2","7,26,29,9,21,9,9,8,10,2",80
"5,6,14,9,12,6,13,4,6,12,2","12,6,4,13,6,12,9,14,6,5,2",81
"17,6,11,13,27,11,23,25,12,2","12,25,23,11,27,13,11,6,17,2",82
"26,23,6,11,19,16,12,9,19,23,9,4,6,9,19,12,4,29,25,7,5,21,12,4,21,15,14,14,28,18,21,16,19,28,23,16,2","16,23,28,19,16,21,18,28,14,14,15,21,4,12,21,5,7,25,29,4,12,19,9,6,4,9,23,19,9,12,16,19,11,6,23,26,2",83
"13,6,9,10,6,23,16,13,23,27,28,6,22,15,16,19,14,29,21,16,24,19,10,16,17,20,25,13,14,10,15,8,6,2","6,8,15,10,14,13,25,20,17,16,10,19,24,16,21,29,14,19,16,15,22,6,28,27,23,13,16,23,6,10,9,6,13,2",84
"12,9,15,22,4,14,7,12,27,6,29,15,4,18,11,12,26,20,6,15,2","15,6,20,26,12,11,18,4,15,29,6,27,12,7,14,4,22,15,9,12,2",85
"13,19,18,19,22,22,11,18,17,5,5,5,12,24,20,23,12,11,14,28,21,18,26,15,17,6,10,5,23,23,14,7,21,10,23,19,9,16,15,8,12,22,4,12,23,25,29,16,21,2","21,16,29,25,23,12,4,22,12,8,15,16,9,19,23,10,21,7,14,23,23,5,10,6,17,15,26,18,21,28,14,11,12,23,20,24,12,5,5,5,17,18,11,22,22,19,18,19,13,2",87
"5,11,14,20,15,17,14,17,16,15,22,19,20,23,14,23,23,23,19,28,28,8,24,25,7,12,10,24,24,9,18,28,21,13,5,17,24,26,20,16,4,26,20,2","20,26,4,16,20,26,24,17,5,13,21,28,18,9,24,24,10,12,7,25,24,8,28,28,19,23,23,23,14,23,20,19,22,15,16,17,14,17,15,20,14,11,5,2",88
"14,10,15,17,25,7,7,27,23,13,29,14,13,17,22,25,28,15,9,14,27,20,9,21,24,27,7,16,23,5,12,8,20,19,12,14,28,2","28,14,12,19,20,8,12,5,23,16,7,27,24,21,9,20,27,14,9,15,28,25,22,17,13,14,29,13,23,27,7,7,25,17,15,10,14,2",89
"23,5,28,7,20,27,22,13,22,20,22,25,26,19,5,17,13,22,26,2","26,22,13,17,5,19,26,25,22,20,22,13,22,27,20,7,28,5,23,2",90
"23,11,13,18,11,15,22,25,26,6,23,7,14,8,13,12,18,2","18,12,13,8,14,7,23,6,26,25,22,15,11,18,13,11,23,2",91
"28,12,12,2","12,12,28,2",92
"5,25,6,6,26,21,13,25,19,23,4,26,21,27,25,9,18,6,13,19,5,8,2","8,5,19,13,6,18,9,25,27,21,26,4,23,19,25,13,21,26,6,6,25,5,2",93
"19,18,14,18,9,10,16,21,26,19,23,12,27,20,6,20,23,16,22,8,4,15,21,19,6,10,4,17,19,5,5,15,5,4,16,9,25,11,11,6,8,15,16,2","16,15,8,6,11,11,25,9,16,4,5,15,5,5,19,17,4,10,6,19,21,15,4,8,22,16,23,20,6,20,27,12,23,19,26,21,16,10,9,18,14,18,19,2",94
"16,19,15,14,10,6,23,25,27,13,18,22,10,4,9,8,5,13,9,16,2","16,9,13,5,8,9,4,10,22,18,13,27,25,23,6,10,14,15,19,16,2",95
"9,27,10,2","10,27,9,2",96
"26,29,20,24,27,22,28,27,11,4,7,14,16,25,19,25,20,29,2","29,20,25,19,25,16,14,7,4,11,27,28,22,27,24,20,29,26,2",97
"20,29,28,19,10,14,14,22,8,28,27,27,19,29,9,17,27,19,29,2","29,19,27,17,9,29,19,27,27,28,8,22,14,14,10,19,28,29,20,2",98
"8,11,15,4,9,23,11,21,17,13,6,22,20,8,21,7,23,18,21,19,27,22,25,13,17,10,14,2","14,10,17,13,25,22,27,19,21,18,23,7,21,8,20,22,6,13,17,21,11,23,9,4,15,11,8,2",99
"6,29,23,2","23,29,6,2",100
"9,23,9,21,7,20,20,27,9,26,4,22,9,28,16,5,24,24,7,4,2","4,7,24,24,5,16,28,9,22,4,26,9,27,20,20,7,21,9,23,9,2",101
"14,17,28,25,9,28,9,29,20,12,7,16,21,19,2","19,21,16,7,12,20,29,9,28,9,25,28,17,14,2",102
"11,22,9,16,22,26,28,19,14,13,22,14,7,7,6,22,13,29,11,10,12,25,15,26,6,14,25,23,24,5,29,20,13,17,14,5,27,6,2","6,27,5,14,17,13,20,29,5,24,23,25,14,6,26,15,25,12,10,11,29,13,22,6,7,7,14,22,13,14,19,28,26,22,16,9,22,11,2",103
"18,22,21,27,6,11,14,14,13,22,25,15,13,13,19,19,24,13,18,6,6,17,22,25,19,20,5,24,17,22,6,9,6,15,20,8,6,23,7,29,8,8,2","8,8,29,7,23,6,8,20,15,6,9,6,22,17,24,5,20,19,25,22,17,6,6,18,13,24,19,19,13,13,15,25,22,13,14,14,11,6,27,21,22,18,2",104
"16,24,17,17,8,6,7,13,12,4,13,24,15,6,28,15,23,15,14,26,26,14,23,7,16,21,13,25,9,25,12,18,14,28,21,2","21,28,14,18,12,25,9,25,13,21,16,7,23,14,26,26,14,15,23,15,28,6,15,24,13,4,12,13,7,6,8,17,17,24,16,2",105
"11,22,29,2","29,22,11,2",106
"27,29,11,2","11,29,27,2",107
"7,28,12,16,12,25,10,7,27,26,7,22,17,4,25,22,25,2","25,22,25,4,17,22,7,26,27,7,10,25,12,16,12,28,7,2",108
"13,4,21,21,7,12,21,9,8,28,24,11,21,4,29,26,13,28,16,27,28,16,27,17,21,23,13,7,2","7,13,23,21,17,27,16,28,27,16,28,13,26,29,4,21,11,24,28,8,9,21,12,7,21,21,4,13,2",109
"5,23,5,6,14,4,21,25,16,15,6,13,11,2","11,13,6,15,16,25,21,4,14,6,5,23,5,2",110
"11,20,5,21,18,17,17,2","17,17,18,21,5,20,11,2",111
"22,29,26,29,27,8,25,18,2","18,25,8,27,29,26,29,22,2",112
"21,13,15,6,11,27,5,2","5,27,11,6,15,13,21,2",113
"11,5,23,22,9,18,2","18,9,22,23,5,11,2",114
"10,16,5,13,28,23,19,23,21,10,6,27,9,28,23,24,24,25,15,29,28,23,29,25,15,8,28,22,23,29,7,5,5,28,16,11,23,10,21,26,16,5,4,24,19,6,11,2","11,6,19,24,4,5,16,26,21,10,23,11,16,28,5,5,7,29,23,22,28,8,15,25,29,23,28,29,15,25,24,24,23,28,9,27,6,10,21,23,19,23,28,13,5,16,10,2",115
"4,15,9,25,8,19,5,12,9,29,18,19,11,8,7,16,21,25,15,2","15,25,21,16,7,8,11,19,18,29,9,12,5,19,8,25,9,15,4,2",116
"20,29,14,27,10,22,18,7,20,16,17,28,4,15,10,10,14,8,6,8,18,19,10,7,13,21,5,28,5,21,22,12,2","12,22,21,5,28,5,21,13,7,10,19,18,8,6,8,14,10,10,15,4,28,17,16,20,7,18,22,10,27,14,29,20,2",117
"7,11,29,25,27,23,20,26,7,12,17,5,10,4,2","4,10,5,17,12,7,26,20,23,27,25,29,11,7,2",118
"28,15,4,23,17,24,26,7,6,28,20,19,16,26,28,22,2","22,28,26,16,19,20,28,6,7,26,24,17,23,4,15,28,2",119
"9,14,18,13,21,22,25,5,11,18,26,7,18,9,14,27,4,5,16,19,4,8,19,27,11,26,5,15,13,9,19,15,18,19,12,24,20,6,17,20,14,19,22,21,22,5,10,12,5,10,2","10,5,12,10,5,22,21,22,19,14,20,17,6,20,24,12,19,18,15,19,9,13,15,5,26,11,27,19,8,4,19,16,5,4,27,14,9,18,7,26,18,11,5,25,22,21,13,18,14,9,2",120
"20,12,25,4,26,19,13,26,14,16,29,25,26,22,18,27,10,17,22,29,21,12,26,23,20,18,8,16,25,2","25,16,8,18,20,23,26,12,21,29,22,17,10,27,18,22,26,25,29,16,14,26,13,19,26,4,25,12,20,2",121
"23,21,13,14,4,24,5,7,18,13,10,26,5,26,21,16,7,2","7,16,21,26,5,26,10,13,18,7,5,24,4,14,13,21,23,2",122
"27,13,16,19,23,26,4,7,28,17,5,29,14,16,8,10,16,8,27,9,17,27,23,19,8,22,6,2","6,22,8,19,23,27,17,9,27,8,16,10,8,16,14,29,5,17,28,7,4,26,23,19,16,13,27,2",123
"4,27,26,12,22,20,20,8,13,10,19,29,17,12,12,6,27,22,5,9,18,5,21,5,5,6,6,27,15,21,13,20,19,26,7,14,24,7,12,11,16,29,21,14,24,14,18,4,2","4,18,14,24,14,21,29,16,11,12,7,24,14,7,26,19,20,13,21,15,27,6,6,5,5,21,5,18,9,5,22,27,6,12,12,17,29,19,10,13,8,20,20,22,12,26,27,4,2",124
"27,17,5,4,8,5,26,14,23,24,4,12,7,14,13,20,26,28,17,27,5,23,26,8,13,16,29,13,13,21,15,4,25,25,2","25,25,4,15,21,13,13,29,16,13,8,26,23,5,27,17,28,26,20,13,14,7,12,4,24,23,14,26,5,8,4,5,17,27,2",125
"5,25,26,28,13,26,18,17,5,24,23,16,19,8,20,23,18,10,19,15,29,5,14,6,26,14,24,2","24,14,26,6,14,5,29,15,19,10,18,23,20,8,19,16,23,24,5,17,18,26,13,28,26,25,5,2",126
"24,6,14,17,18,9,14,25,16,25,15,16,16,13,17,24,20,14,18,25,26,22,8,10,5,14,20,21,21,16,8,14,24,23,27,20,2","20,27,23,24,14,8,16,21,21,20,14,5,10,8,22,26,25,18,14,20,24,17,13,16,16,15,25,16,25,14,9,18,17,14,6,24,2",127
"16,26,26,7,10,19,11,21,4,27,7,21,16,29,2","29,16,21,7,27,4,21,11,19,10,7,26,26,16,2",128
"12,12,10,20,25,18,8,6,26,2","26,6,8,18,25,20,10,12,12,2",129
"13,21,4,16,27,9,29,25,18,14,11,27,17,28,18,19,27,11,15,18,8,9,28,4,24,12,24,6,6,14,22,18,24,21,16,10,11,5,12,13,19,26,10,11,10,18,28,2","28,18,10,11,10,26,19,13,12,5,11,10,16,21,24,18,22,14,6,6,24,12,24,4,28,9,8,18,15,11,27,19,18,28,17,27,11,14,18,25,29,9,27,16,4,21,13,2",130
"9,7,18,2","18,7,9,2",131
"23,21,12,11,28,27,6,23,5,21,29,28,29,23,7,6,22,19,12,24,13,13,7,23,27,8,13,7,25,11,7,17,17,8,7,13,26,13,21,10,15,28,10,22,12,10,26,22,2","22,26,10,12,22,10,28,15,10,21,13,26,13,7,8,17,17,7,11,25,7,13,8,27,23,7,13,13,24,12,19,22,6,7,23,29,28,29,21,5,23,6,27,28,11,12,21,23,2",132
"14,9,21,18,15,15,22,4,24,16,9,29,10,10,21,8,26,24,2","24,26,8,21,10,10,29,9,16,24,4,22,15,15,18,21,9,14,2",133
"23,20,5,11,29,9,17,18,23,15,14,19,15,26,20,4,10,16,15,12,8,17,23,25,23,5,2","5,23,25,23,17,8,12,15,16,10,4,20,26,15,19,14,15,23,18,17,9,29,11,5,20,23,2",135
"11,12,9,4,5,5,4,29,16,21,13,17,25,8,14,17,28,8,23,26,24,13,23,18,22,21,22,11,11,26,20,14,24,29,28,5,22,10,17,28,18,5,2","5,18,28,17,10,22,5,28,29,24,14,20,26,11,11,22,21,22,18,23,13,24,26,23,8,28,17,14,8,25,17,13,21,16,29,4,5,5,4,9,12,11,2",136
"18,4,19,16,11,26,28,16,19,17,18,29,9,26,20,25,18,21,6,29,9,9,23,10,4,28,12,21,17,23,12,22,28,14,24,2","24,14,28,22,12,23,17,21,12,28,4,10,23,9,9,29,6,21,18,25,20,26,9,29,18,17,19,16,28,26,11,16,19,4,18,2",137
"25,7,12,6,13,15,29,20,29,14,25,13,4,20,4,17,4,27,24,6,5,16,22,9,6,25,18,17,13,2","13,17,18,25,6,9,22,16,5,6,24,27,4,17,4,20,4,13,25,14,29,20,29,15,13,6,12,7,25,2",139
"10,18,20,14,5,17,9,20,7,21,10,22,16,18,10,24,14,4,24,5,20,6,16,29,22,27,14,5,2","5,14,27,22,29,16,6,20,5,24,4,14,24,10,18,16,22,10,21,7,20,9,17,5,14,20,18,10,2",141
"18,12,12,20,8,15,12,9,28,20,28,24,12,8,26,22,18,23,18,4,12,15,15,27,21,15,17,18,13,20,9,18,5,7,11,13,24,7,5,7,23,23,11,18,2","18,11,23,23,7,5,7,24,13,11,7,5,18,9,20,13,18,17,15,21,27,15,15,12,4,18,23,18,22,26,8,12,24,28,20,28,9,12,15,8,20,12,12,18,2",142
"15,16,11,27,25,27,23,7,19,26,10,28,21,4,12,28,23,15,2","15,23,28,12,4,21,28,10,26,19,7,23,27,25,27,11,16,15,2",143
"7,17,19,25,11,23,4,7,14,7,4,11,5,16,29,26,14,29,12,10,10,29,7,14,6,29,28,19,15,5,16,27,23,4,8,12,8,26,15,10,24,10,11,15,9,9,7,9,10,2","10,9,7,9,9,15,11,10,24,10,15,26,8,12,8,4,23,27,16,5,15,19,28,29,6,14,7,29,10,10,12,29,14,26,29,16,5,11,4,7,14,7,4,23,11,25,19,17,7,2",144
"6,12,5,4,11,21,16,19,7,25,16,4,27,9,4,10,2","10,4,9,27,4,16,25,7,19,16,21,11,4,5,12,6,2",145
"12,13,26,8,27,7,24,8,5,21,8,15,24,12,15,10,10,18,23,2","23,18,10,10,15,12,24,15,8,21,5,8,24,7,27,8,26,13,12,2",146
"25,13,17,17,20,24,9,28,23,4,18,28,8,23,22,11,4,17,19,23,23,5,12,2","12,5,23,23,19,17,4,11,22,23,8,28,18,4,23,28,9,24,20,17,17,13,25,2",147
"25,7,26,7,13,25,22,7,21,5,20,23,29,23,22,25,2","25,22,23,29,23,20,5,21,7,22,25,13,7,26,7,25,2",148
"20,5,18,19,26,12,28,14,17,18,4,24,21,12,6,29,16,29,23,14,4,25,10,27,19,22,22,2","22,22,19,27,10,25,4,14,23,29,16,29,6,12,21,24,4,18,17,14,28,12,26,19,18,5,20,2",149
