source,target,uid
"6,9,6,7,9,14,29,24,7,22,18,10,22,22,6,10,8,6,13,27,19,8,11,10,7,17,18,22,2","6,9,6,7,9,14,29,24,7,22,18,10,22,22,6,10,8,6,13,27,19,8,11,10,7,17,18,22,2",26
"10,27,25,16,19,19,28,14,6,17,8,22,24,13,28,16,18,4,18,18,15,7,25,12,24,29,8,28,27,8,23,26,23,18,4,2","10,27,25,16,19,19,28,14,6,17,8,22,24,13,28,16,18,4,18,18,15,7,25,12,24,29,8,28,27,8,23,26,23,18,4,2",27
"16,5,7,18,15,4,25,18,4,16,5,18,15,21,5,23,20,14,11,27,24,24,14,12,4,10,27,24,27,10,23,11,22,21,8,11,10,4,29,4,13,18,20,2","16,5,7,18,15,4,25,18,4,16,5,18,15,21,5,23,20,14,11,27,24,24,14,12,4,10,27,24,27,10,23,11,22,21,8,11,10,4,29,4,13,18,20,2",28
"22,10,10,17,9,13,7,8,22,26,15,5,5,18,9,29,24,23,29,25,16,6,5,11,26,9,7,21,5,20,6,24,27,27,13,15,6,6,15,6,8,5,2","22,10,10,17,9,13,7,8,22,26,15,5,5,18,9,29,24,23,29,25,16,6,5,11,26,9,7,21,5,20,6,24,27,27,13,15,6,6,15,6,8,5,2",30
"15,28,6,17,20,10,13,28,15,25,2","15,28,6,17,20,10,13,28,15,25,2",31
"17,19,21,18,22,5,12,26,28,10,28,24,23,12,19,21,29,24,8,11,29,18,5,13,10,20,17,4,5,4,14,17,25,21,26,14,16,2","17,19,21,18,22,5,12,26,28,10,28,24,23,12,19,21,29,24,8,11,29,18,5,13,10,20,17,4,5,4,14,17,25,21,26,14,16,2",32
"14,14,18,4,26,18,24,24,23,16,20,4,4,16,29,19,6,14,27,9,26,12,7,27,2","14,14,18,4,26,18,24,24,23,16,20,4,4,16,29,19,6,14,27,9,26,12,7,27,2",33
"5,25,15,9,26,11,16,16,7,24,29,28,6,13,15,23,5,14,23,4,2","5,25,15,9,26,11,16,16,7,24,29,28,6,13,15,23,5,14,23,4,2",34
"21,23,9,11,11,25,28,11,12,5,25,24,8,27,20,9,9,14,14,23,22,21,28,12,24,7,10,26,8,22,11,5,9,2","21,23,9,11,11,25,28,11,12,5,25,24,8,27,20,9,9,14,14,23,22,21,28,12,24,7,10,26,8,22,11,5,9,2",35
"26,14,17,12,16,2","26,14,17,12,16,2",36
"4,25,5,27,21,14,10,20,16,4,21,6,12,25,7,16,14,28,20,9,19,25,22,16,27,2","4,25,5,27,21,14,10,20,16,4,21,6,12,25,7,16,14,28,20,9,19,25,22,16,27,2",37
"23,13,21,20,13,8,18,27,24,6,9,6,25,20,6,6,10,18,23,28,21,26,23,17,5,23,25,10,18,11,11,9,6,20,9,26,5,27,27,26,15,26,22,11,29,8,12,22,18,19,2","23,13,21,20,13,8,18,27,24,6,9,6,25,20,6,6,10,18,23,28,21,26,23,17,5,23,25,10,18,11,11,9,6,20,9,26,5,27,27,26,15,26,22,11,29,8,12,22,18,19,2",38
"12,16,13,13,24,13,15,21,20,9,4,15,11,29,16,24,22,10,4,2","12,16,13,13,24,13,15,21,20,9,4,15,11,29,16,24,22,10,4,2",39
"20,16,21,11,22,17,24,22,12,15,20,19,17,7,8,16,9,25,14,19,20,10,27,20,7,20,18,17,24,24,7,6,10,28,20,11,9,9,9,20,14,21,26,27,21,28,6,22,26,2","20,16,21,11,22,17,24,22,12,15,20,19,17,7,8,16,9,25,14,19,20,10,27,20,7,20,18,17,24,24,7,6,10,28,20,11,9,9,9,20,14,21,26,27,21,28,6,22,26,2",41
"23,26,24,8,24,8,9,24,29,23,9,9,12,19,18,16,27,13,5,25,8,29,15,23,2","23,26,24,8,24,8,9,24,29,23,9,9,12,19,18,16,27,13,5,25,8,29,15,23,2",42
"19,20,11,2","19,20,11,2",43
"12,18,18,18,20,20,8,10,14,28,4,14,4,19,27,12,4,2","12,18,18,18,20,20,8,10,14,28,4,14,4,19,27,12,4,2",44
"15,28,15,5,22,14,2","15,28,15,5,22,14,2",45
"18,5,5,18,22,17,21,4,11,26,20,22,5,2","18,5,5,18,22,17,21,4,11,26,20,22,5,2",47
"6,20,20,11,18,13,18,21,17,19,7,9,23,28,11,18,29,15,24,16,24,23,4,24,22,13,7,6,14,2","6,20,20,11,18,13,18,21,17,19,7,9,23,28,11,18,29,15,24,16,24,23,4,24,22,13,7,6,14,2",48
"24,26,22,19,23,16,24,14,12,20,25,14,14,25,26,18,5,5,20,13,19,17,22,4,28,25,5,4,8,13,17,12,13,15,28,15,29,10,9,16,4,2","24,26,22,19,23,16,24,14,12,20,25,14,14,25,26,18,5,5,20,13,19,17,22,4,28,25,5,4,8,13,17,12,13,15,28,15,29,10,9,16,4,2",49
"4,5,5,29,19,8,21,4,12,26,10,15,16,13,14,20,18,29,9,10,12,16,27,11,4,9,12,22,14,24,16,14,28,19,17,10,10,4,10,17,7,22,5,9,2","4,5,5,29,19,8,21,4,12,26,10,15,16,13,14,20,18,29,9,10,12,16,27,11,4,9,12,22,14,24,16,14,28,19,17,10,10,4,10,17,7,22,5,9,2",50
"23,23,24,17,19,23,2","23,23,24,17,19,23,2",51
"17,19,23,20,17,15,14,21,9,21,17,2","17,19,23,20,17,15,14,21,9,21,17,2",52
"26,12,22,8,18,13,9,18,18,12,23,19,16,8,24,8,18,15,27,10,15,5,20,18,5,28,21,27,28,13,23,13,11,20,12,21,10,5,23,20,4,8,20,21,29,2","26,12,22,8,18,13,9,18,18,12,23,19,16,8,24,8,18,15,27,10,15,5,20,18,5,28,21,27,28,13,23,13,11,20,12,21,10,5,23,20,4,8,20,21,29,2",53
"10,11,5,20,18,10,24,5,4,16,23,21,22,20,24,19,22,4,6,26,18,7,11,24,28,23,17,23,27,9,23,28,7,23,24,21,13,6,18,14,24,2","10,11,5,20,18,10,24,5,4,16,23,21,22,20,24,19,22,4,6,26,18,7,11,24,28,23,17,23,27,9,23,28,7,23,24,21,13,6,18,14,24,2",54
"27,23,17,15,2","27,23,17,15,2",55
"14,18,11,7,10,27,25,26,22,26,21,5,19,6,27,6,28,26,13,29,4,28,23,2","14,18,11,7,10,27,25,26,22,26,21,5,19,6,27,6,28,26,13,29,4,28,23,2",56
"28,10,6,25,20,13,15,14,19,21,23,26,12,2","28,10,6,25,20,13,15,14,19,21,23,26,12,2",57
"4,24,18,9,26,26,6,11,17,6,6,4,22,9,5,23,9,15,19,11,7,24,11,16,11,7,27,5,8,24,21,6,24,4,13,18,16,10,11,7,20,17,27,20,18,2","4,24,18,9,26,26,6,11,17,6,6,4,22,9,5,23,9,15,19,11,7,24,11,16,11,7,27,5,8,24,21,6,24,4,13,18,16,10,11,7,20,17,27,20,18,2",58
"23,14,10,20,11,7,16,19,17,12,5,5,16,20,19,19,19,23,12,28,23,19,6,26,4,19,4,11,7,19,17,21,21,19,21,24,28,13,4,11,8,14,16,4,24,9,23,11,2","23,14,10,20,11,7,16,19,17,12,5,5,16,20,19,19,19,23,12,28,23,19,6,26,4,19,4,11,7,19,17,21,21,19,21,24,28,13,4,11,8,14,16,4,24,9,23,11,2",59
"7,14,17,22,28,6,10,5,4,7,18,6,10,6,12,5,12,7,29,29,15,27,5,4,29,15,17,8,29,5,28,28,28,26,25,9,27,27,22,8,25,7,28,18,11,19,29,14,20,2","7,14,17,22,28,6,10,5,4,7,18,6,10,6,12,5,12,7,29,29,15,27,5,4,29,15,17,8,29,5,28,28,28,26,25,9,27,27,22,8,25,7,28,18,11,19,29,14,20,2",60
"6,15,27,23,12,2","6,15,27,23,12,2",61
"20,8,29,12,18,28,5,5,11,5,22,17,18,15,22,25,5,28,22,13,5,25,4,15,24,5,19,12,24,14,2","20,8,29,12,18,28,5,5,11,5,22,17,18,15,22,25,5,28,22,13,5,25,4,15,24,5,19,12,24,14,2",62
"23,23,22,5,21,29,29,19,29,11,23,14,8,23,8,10,16,8,8,20,7,16,7,20,24,23,23,28,2","23,23,22,5,21,29,29,19,29,11,23,14,8,23,8,10,16,8,8,20,7,16,7,20,24,23,23,28,2",63
"21,10,29,5,15,19,10,25,7,29,9,14,9,28,26,24,16,13,8,2","21,10,29,5,15,19,10,25,7,29,9,14,9,28,26,24,16,13,8,2",64
"29,29,28,29,18,28,10,9,25,9,6,5,21,18,26,10,12,27,22,10,16,26,9,27,16,28,28,5,23,2","29,29,28,29,18,28,10,9,25,9,6,5,21,18,26,10,12,27,22,10,16,26,9,27,16,28,28,5,23,2",65
"8,27,10,18,27,2","8,27,10,18,27,2",66
"23,6,9,7,4,10,28,24,10,5,10,27,26,4,19,26,23,4,22,17,8,27,29,22,11,2","23,6,9,7,4,10,28,24,10,5,10,27,26,4,19,26,23,4,22,17,8,27,29,22,11,2",68
"18,18,17,21,22,25,23,15,5,16,15,8,23,20,10,27,28,26,6,22,24,14,26,21,23,25,19,28,12,9,28,9,25,6,16,19,25,10,24,4,25,22,29,13,2","18,18,17,21,22,25,23,15,5,16,15,8,23,20,10,27,28,26,6,22,24,14,26,21,23,25,19,28,12,9,28,9,25,6,16,19,25,10,24,4,25,22,29,13,2",69
"9,11,18,26,4,21,29,8,14,6,14,28,15,7,26,12,12,23,5,26,26,11,18,22,9,12,16,17,8,27,22,10,7,29,20,14,26,26,2","9,11,18,26,4,21,29,8,14,6,14,28,15,7,26,12,12,23,5,26,26,11,18,22,9,12,16,17,8,27,22,10,7,29,20,14,26,26,2",70
"11,17,7,24,24,12,29,8,24,10,22,11,2","11,17,7,24,24,12,29,8,24,10,22,11,2",71
"25,9,6,2","25,9,6,2",72
"26,28,25,18,4,26,4,23,21,26,6,20,18,25,17,8,25,29,11,11,17,25,29,11,23,17,23,16,9,29,26,17,29,2","26,28,25,18,4,26,4,23,21,26,6,20,18,25,17,8,25,29,11,11,17,25,29,11,23,17,23,16,9,29,26,17,29,2",73
"4,17,29,19,7,20,6,22,27,12,9,8,22,27,8,14,8,4,26,26,24,20,5,25,8,6,16,11,12,19,2","4,17,29,19,7,20,6,22,27,12,9,8,22,27,8,14,8,4,26,26,24,20,5,25,8,6,16,11,12,19,2",74
"8,27,15,11,19,22,8,20,14,29,8,7,2","8,27,15,11,19,22,8,20,14,29,8,7,2",75
"25,15,11,7,18,20,22,4,27,5,26,11,13,12,25,6,25,14,4,23,18,25,26,9,14,27,12,13,18,11,28,5,7,17,19,9,24,8,2","25,15,11,7,18,20,22,4,27,5,26,11,13,12,25,6,25,14,4,23,18,25,26,9,14,27,12,13,18,11,28,5,7,17,19,9,24,8,2",76
"25,9,22,7,20,18,22,22,15,4,2","25,9,22,7,20,18,22,22,15,4,2",77
"9,5,22,15,9,6,5,5,25,13,21,20,22,21,6,6,24,24,21,25,22,4,22,23,9,17,22,27,6,21,4,13,11,26,26,13,8,14,24,7,15,24,2","9,5,22,15,9,6,5,5,25,13,21,20,22,21,6,6,24,24,21,25,22,4,22,23,9,17,22,27,6,21,4,13,11,26,26,13,8,14,24,7,15,24,2",78
"27,20,17,18,17,19,13,5,29,25,28,10,4,20,7,18,29,10,12,16,16,17,6,20,10,23,10,2","27,20,17,18,17,19,13,5,29,25,28,10,4,20,7,18,29,10,12,16,16,17,6,20,10,23,10,2",79
"20,29,18,20,23,18,2","20,29,18,20,23,18,2",80
"4,27,4,13,7,26,23,4,7,20,2","4,27,4,13,7,26,23,4,7,20,2",81
"25,10,11,5,23,13,12,26,16,25,26,12,28,8,8,25,12,21,16,18,10,12,29,16,26,2","25,10,11,5,23,13,12,26,16,25,26,12,28,8,8,25,12,21,16,18,10,12,29,16,26,2",82
"13,7,16,10,22,12,25,19,12,22,21,15,26,10,13,15,21,26,10,10,18,22,18,16,15,10,7,9,2","13,7,16,10,22,12,25,19,12,22,21,15,26,10,13,15,21,26,10,10,18,22,18,16,15,10,7,9,2",83
"12,28,23,9,5,7,20,13,6,2","12,28,23,9,5,7,20,13,6,2",84
"18,24,5,29,4,26,25,24,28,27,23,13,8,25,17,17,13,12,28,17,29,12,16,8,2","18,24,5,29,4,26,25,24,28,27,23,13,8,25,17,17,13,12,28,17,29,12,16,8,2",86
"9,6,25,5,15,10,14,22,11,20,15,19,6,6,21,2","9,6,25,5,15,10,14,22,11,20,15,19,6,6,21,2",87
"9,22,11,19,11,9,25,16,7,7,17,28,29,9,13,6,29,16,23,16,22,9,2","9,22,11,19,11,9,25,16,7,7,17,28,29,9,13,6,29,16,23,16,22,9,2",88
"28,27,26,20,12,23,15,27,27,18,28,16,7,8,24,23,14,21,25,8,29,17,13,15,25,6,24,24,13,20,6,9,9,12,18,8,4,2","28,27,26,20,12,23,15,27,27,18,28,16,7,8,24,23,14,21,25,8,29,17,13,15,25,6,24,24,13,20,6,9,9,12,18,8,4,2",89
"29,29,6,12,5,16,15,26,14,5,26,20,8,5,12,27,15,6,26,4,12,25,9,20,21,16,6,23,2","29,29,6,12,5,16,15,26,14,5,26,20,8,5,12,27,15,6,26,4,12,25,9,20,21,16,6,23,2",90
"13,15,15,22,9,22,5,17,2","13,15,15,22,9,22,5,17,2",91
"20,4,12,16,12,29,6,21,5,18,21,5,27,17,10,9,23,29,10,26,10,8,11,19,24,25,20,16,11,14,14,22,20,25,27,17,21,16,14,15,17,29,22,26,26,25,10,26,21,28,2","20,4,12,16,12,29,6,21,5,18,21,5,27,17,10,9,23,29,10,26,10,8,11,19,24,25,20,16,11,14,14,22,20,25,27,17,21,16,14,15,17,29,22,26,26,25,10,26,21,28,2",92
"15,19,27,6,25,25,12,21,21,18,19,16,29,19,28,8,7,2","15,19,27,6,25,25,12,21,21,18,19,16,29,19,28,8,7,2",93
"18,14,22,12,20,26,8,13,22,6,6,4,16,21,7,18,25,26,23,11,23,26,15,2","18,14,22,12,20,26,8,13,22,6,6,4,16,21,7,18,25,26,23,11,23,26,15,2",94
"18,5,18,11,13,21,17,25,27,13,18,26,2","18,5,18,11,13,21,17,25,27,13,18,26,2",95
"5,10,16,9,18,8,13,9,4,23,29,19,22,14,20,19,7,29,11,20,4,15,5,23,29,19,8,13,14,14,14,16,26,26,20,23,13,22,22,2","5,10,16,9,18,8,13,9,4,23,29,19,22,14,20,19,7,29,11,20,4,15,5,23,29,19,8,13,14,14,14,16,26,26,20,23,13,22,22,2",96
"11,7,17,6,11,29,24,13,26,23,16,9,20,4,2","11,7,17,6,11,29,24,13,26,23,16,9,20,4,2",97
"15,25,12,9,18,22,12,26,11,13,14,15,23,8,11,26,21,13,15,7,9,6,28,27,27,25,8,19,15,21,24,2","15,25,12,9,18,22,12,26,11,13,14,15,23,8,11,26,21,13,15,7,9,6,28,27,27,25,8,19,15,21,24,2",98
"25,28,15,22,7,22,18,16,12,6,26,13,24,20,4,18,15,19,14,14,28,13,25,27,23,28,10,25,7,20,11,26,22,20,12,26,25,21,5,19,22,20,18,4,5,12,2","25,28,15,22,7,22,18,16,12,6,26,13,24,20,4,18,15,19,14,14,28,13,25,27,23,28,10,25,7,20,11,26,22,20,12,26,25,21,5,19,22,20,18,4,5,12,2",99
"24,7,26,12,25,22,23,4,8,2","24,7,26,12,25,22,23,4,8,2",101
"13,24,24,25,13,23,29,23,12,25,24,29,12,8,17,28,24,8,14,16,2","13,24,24,25,13,23,29,23,12,25,24,29,12,8,17,28,24,8,14,16,2",102
"8,26,17,13,26,16,29,8,9,9,29,18,14,27,24,14,5,23,22,26,28,26,23,29,24,22,4,10,24,5,8,28,4,8,20,19,13,2","8,26,17,13,26,16,29,8,9,9,29,18,14,27,24,14,5,23,22,26,28,26,23,29,24,22,4,10,24,5,8,28,4,8,20,19,13,2",103
"7,24,5,13,21,4,11,12,10,11,19,22,10,25,23,23,8,9,10,7,23,24,5,12,27,17,22,18,28,17,27,16,22,27,5,16,8,14,2","7,24,5,13,21,4,11,12,10,11,19,22,10,25,23,23,8,9,10,7,23,24,5,12,27,17,22,18,28,17,27,16,22,27,5,16,8,14,2",104
"6,21,8,23,18,8,15,15,19,21,10,26,12,11,19,26,9,14,6,25,24,7,22,21,23,14,13,5,28,6,8,19,14,22,22,27,4,29,18,9,9,14,19,13,5,25,23,8,8,2","6,21,8,23,18,8,15,15,19,21,10,26,12,11,19,26,9,14,6,25,24,7,22,21,23,14,13,5,28,6,8,19,14,22,22,27,4,29,18,9,9,14,19,13,5,25,23,8,8,2",105
"29,13,28,15,19,17,10,2","29,13,28,15,19,17,10,2",106
"23,9,6,29,19,15,16,29,19,29,25,12,18,2","23,9,6,29,19,15,16,29,19,29,25,12,18,2",107
"17,23,25,9,26,22,23,10,10,9,15,17,8,11,23,21,5,25,13,23,26,22,2","17,23,25,9,26,22,23,10,10,9,15,17,8,11,23,21,5,25,13,23,26,22,2",108
"27,22,17,2","27,22,17,2",109
"18,4,14,6,8,7,25,7,8,13,29,19,11,10,28,28,2","18,4,14,6,8,7,25,7,8,13,29,19,11,10,28,28,2",110
"23,16,17,7,14,6,17,8,6,6,2","23,16,17,7,14,6,17,8,6,6,2",111
"29,15,4,27,17,23,27,25,21,21,23,11,7,4,17,17,5,7,23,24,22,24,21,10,15,29,8,10,18,2","29,15,4,27,17,23,27,25,21,21,23,11,7,4,17,17,5,7,23,24,22,24,21,10,15,29,8,10,18,2",112
"27,24,7,11,19,18,26,27,17,27,12,20,5,12,20,4,16,24,29,16,23,22,10,6,18,17,13,12,26,21,5,26,14,23,12,6,19,8,2","27,24,7,11,19,18,26,27,17,27,12,20,5,12,20,4,16,24,29,16,23,22,10,6,18,17,13,12,26,21,5,26,14,23,12,6,19,8,2",113
"8,29,12,24,12,21,14,8,14,7,4,16,9,15,14,19,25,28,18,16,17,17,28,21,19,5,20,10,11,22,26,19,4,14,26,25,23,7,17,10,2","8,29,12,24,12,21,14,8,14,7,4,16,9,15,14,19,25,28,18,16,17,17,28,21,19,5,20,10,11,22,26,19,4,14,26,25,23,7,17,10,2",114
"7,22,18,22,20,16,5,27,16,21,23,20,21,17,21,5,18,9,24,9,11,4,5,20,8,13,11,22,12,4,11,7,8,17,29,24,4,7,13,22,21,21,14,10,13,25,13,9,14,2","7,22,18,22,20,16,5,27,16,21,23,20,21,17,21,5,18,9,24,9,11,4,5,20,8,13,11,22,12,4,11,7,8,17,29,24,4,7,13,22,21,21,14,10,13,25,13,9,14,2",115
"25,11,18,6,28,21,19,13,28,21,24,11,23,26,18,10,20,8,24,4,26,7,29,13,7,25,28,29,7,17,23,17,20,17,14,25,19,26,25,14,14,15,9,14,5,16,21,6,2","25,11,18,6,28,21,19,13,28,21,24,11,23,26,18,10,20,8,24,4,26,7,29,13,7,25,28,29,7,17,23,17,20,17,14,25,19,26,25,14,14,15,9,14,5,16,21,6,2",116
"10,21,7,25,12,9,9,8,6,19,4,28,8,29,12,5,22,5,16,26,8,4,4,5,14,15,23,24,15,17,2","10,21,7,25,12,9,9,8,6,19,4,28,8,29,12,5,22,5,16,26,8,4,4,5,14,15,23,24,15,17,2",117
"18,15,28,10,18,18,26,7,27,23,7,15,6,12,21,23,20,14,5,27,13,29,20,12,12,8,22,21,8,14,29,9,10,23,15,2","18,15,28,10,18,18,26,7,27,23,7,15,6,12,21,23,20,14,5,27,13,29,20,12,12,8,22,21,8,14,29,9,10,23,15,2",118
"18,5,23,19,14,14,2","18,5,23,19,14,14,2",119
"20,5,24,22,23,8,7,26,25,29,16,2","20,5,24,22,23,8,7,26,25,29,16,2",120
"5,21,27,14,5,12,10,5,22,6,7,6,5,22,4,13,9,17,10,14,10,4,10,10,12,24,19,14,28,7,22,23,21,15,6,15,14,4,28,21,4,4,9,20,22,14,13,2","5,21,27,14,5,12,10,5,22,6,7,6,5,22,4,13,9,17,10,14,10,4,10,10,12,24,19,14,28,7,22,23,21,15,6,15,14,4,28,21,4,4,9,20,22,14,13,2",121
"22,4,15,24,12,6,5,21,29,21,23,28,27,23,12,24,13,14,2","22,4,15,24,12,6,5,21,29,21,23,28,27,23,12,24,13,14,2",122
"10,14,28,23,21,29,11,22,26,23,18,9,14,15,17,19,20,22,11,13,6,24,10,19,29,15,23,29,4,25,8,25,15,7,19,19,26,25,16,21,7,2","10,14,28,23,21,29,11,22,26,23,18,9,14,15,17,19,20,22,11,13,6,24,10,19,29,15,23,29,4,25,8,25,15,7,19,19,26,25,16,21,7,2",123
"22,29,10,12,12,5,17,7,9,25,16,9,15,10,6,16,26,4,24,25,24,18,26,11,26,5,22,10,22,23,19,13,29,2","22,29,10,12,12,5,17,7,9,25,16,9,15,10,6,16,26,4,24,25,24,18,26,11,26,5,22,10,22,23,19,13,29,2",124
"27,25,8,12,26,19,16,19,16,20,15,16,25,22,26,26,2","27,25,8,12,26,19,16,19,16,20,15,16,25,22,26,26,2",125
"16,29,26,11,19,4,6,9,9,2","16,29,26,11,19,4,6,9,9,2",126
"29,24,23,19,5,20,12,9,10,24,9,28,29,28,22,12,24,4,12,27,9,12,9,17,14,17,4,28,25,29,4,4,15,24,25,27,6,18,11,18,11,16,7,29,9,25,21,21,5,23,2","29,24,23,19,5,20,12,9,10,24,9,28,29,28,22,12,24,4,12,27,9,12,9,17,14,17,4,28,25,29,4,4,15,24,25,27,6,18,11,18,11,16,7,29,9,25,21,21,5,23,2",127
"28,7,6,10,5,11,17,19,22,24,19,19,28,13,23,12,25,22,7,8,25,7,27,23,28,21,25,13,20,7,27,26,28,26,16,22,28,24,14,22,2","28,7,6,10,5,11,17,19,22,24,19,19,28,13,23,12,25,22,7,8,25,7,27,23,28,21,25,13,20,7,27,26,28,26,16,22,28,24,14,22,2",128
"15,18,29,28,19,17,15,9,17,25,6,19,7,9,27,20,23,27,23,4,19,28,18,12,4,23,7,20,19,21,29,14,29,25,8,29,10,25,8,24,19,22,2","15,18,29,28,19,17,15,9,17,25,6,19,7,9,27,20,23,27,23,4,19,28,18,12,4,23,7,20,19,21,29,14,29,25,8,29,10,25,8,24,19,22,2",129
"26,26,26,22,9,6,14,11,11,7,23,15,12,12,24,18,17,26,2","26,26,26,22,9,6,14,11,11,7,23,15,12,12,24,18,17,26,2",130
"19,15,27,25,11,13,4,16,5,21,13,2","19,15,27,25,11,13,4,16,5,21,13,2",131
"26,8,8,18,22,26,10,28,5,4,21,29,7,24,8,19,22,25,6,20,24,12,19,22,26,6,13,18,21,25,26,11,26,15,7,10,27,8,27,27,26,2","26,8,8,18,22,26,10,28,5,4,21,29,7,24,8,19,22,25,6,20,24,12,19,22,26,6,13,18,21,25,26,11,26,15,7,10,27,8,27,27,26,2",132
"18,23,13,10,18,12,24,26,11,11,18,13,11,28,17,15,5,25,15,11,2","18,23,13,10,18,12,24,26,11,11,18,13,11,28,17,15,5,25,15,11,2",133
"8,13,22,11,14,14,26,4,12,11,27,4,15,22,28,10,9,18,21,17,29,17,13,15,2","8,13,22,11,14,14,26,4,12,11,27,4,15,22,28,10,9,18,21,17,29,17,13,15,2",134
"21,8,7,2","21,8,7,2",135
"20,14,8,2","20,14,8,2",136
"26,23,20,11,13,10,16,26,6,5,24,21,25,11,10,14,9,23,7,28,20,24,11,25,10,2","26,23,20,11,13,10,16,26,6,5,24,21,25,11,10,14,9,23,7,28,20,24,11,25,10,2",137
"15,17,19,27,5,14,20,11,9,10,7,20,8,23,27,5,15,13,12,12,26,8,2","15,17,19,27,5,14,20,11,9,10,7,20,8,23,27,5,15,13,12,12,26,8,2",138
"8,20,17,21,9,18,22,9,4,5,25,6,18,25,28,28,20,2","8,20,17,21,9,18,22,9,4,5,25,6,18,25,28,28,20,2",139
